iter	Logloss
0	0.6538656139
1	0.6265080237
2	0.608826378
3	0.5890592045
4	0.5674727461
5	0.547948794
6	0.5308812915
7	0.5208477624
8	0.4934624161
9	0.4852132338
10	0.4788220994
11	0.4668169663
12	0.459044154
13	0.4499991182
14	0.442157849
15	0.432489858
16	0.4268541944
17	0.4253907298
18	0.4201563173
19	0.4152749114
20	0.4120551124
21	0.4097753837
22	0.4073793389
23	0.4052939987
24	0.4032193392
25	0.4013043427
26	0.3989260978
27	0.3974876853
28	0.3905713334
29	0.384130235
30	0.3800625431
31	0.3785043319
32	0.3739623995
33	0.3730653066
34	0.3720715958
35	0.3684280317
36	0.3635630132
37	0.3626871113
38	0.3609707118
39	0.3570922299
40	0.3559307943
41	0.3536882831
42	0.3523679242
43	0.3514416955
44	0.3505759141
45	0.3502994743
46	0.3489900757
47	0.3483074505
48	0.3478046583
49	0.3472796208
50	0.3978891887
51	0.3972634599
52	0.3964320883
53	0.3952111554
54	0.3945311533
55	0.3780401813
56	0.3776056943
57	0.3764970238
58	0.3763978579
59	0.3754764315
60	0.3747629769
61	0.3737510484
62	0.3731779737
63	0.3730576647
64	0.3728462336
65	0.3723599552
66	0.3718814828
67	0.3716342288
68	0.3711604551
69	0.3705363737
70	0.3705363713
71	0.370183721
72	0.3698795276
73	0.3697138333
74	0.3695830525
75	0.3692594417
76	0.3688224256
77	0.3680316278
78	0.3675451658
79	0.3674024475
80	0.367261534
81	0.3669018973
82	0.3666486711
83	0.3666054213
84	0.3656549298
85	0.365400374
86	0.3651745644
87	0.3650105467
88	0.6082602181
89	0.6080387682
90	0.6077061702
91	0.6590310181
92	0.6588395953
93	0.6586847443
94	0.6585663362
95	0.6582868908
96	0.6577008295
97	0.6574763524
98	0.6572084237
99	0.6571006274
100	0.6569640306
101	0.6568892825
102	0.6567709527
103	0.6565320379
104	0.6563699158
105	0.6562129046
106	0.656055042
107	0.6560214609
108	0.655794951
109	0.6557370996
110	0.6556235853
111	0.6555038864
112	0.6553727084
113	0.6551654257
114	0.6550142688
115	0.6548966913
116	0.6548368899
117	0.6547283681
118	0.6545420756
119	0.6544126671
120	0.7341432719
121	0.771769576
122	0.7717125317
123	0.7715954602
124	0.7715220569
125	0.7715092946
126	0.7714684271
127	0.7632596126
128	0.7632284002
129	0.7632180815
130	0.7630688629
131	0.7630433033
132	0.7630272064
133	0.7628953896
134	0.7628252527
135	0.9164752907
136	0.9163830955
137	0.9163415567
138	0.9163333039
139	0.9163332995
140	0.9162679449
141	0.9162269706
142	0.9162156623
143	0.9162035545
144	0.9161195659
145	0.9160558091
146	0.9159523379
147	0.9158848975
148	0.9158137547
149	0.9800492604
150	0.9800268718
151	0.9799772501
152	0.979976204
153	1.082756119
154	1.082748936
155	1.082748936
156	1.082738189
157	1.082721945
158	1.082634818
159	1.08263481
160	1.082625225
161	1.082601886
162	1.082541854
163	1.069550492
164	1.069489732
165	1.069448332
166	1.069383604
167	1.069343808
168	1.069343532
169	1.069290247
170	1.069281605
171	1.069242787
172	1.069242784
173	1.069242471
174	1.06923234
175	1.06914817
176	1.069106793
177	1.069044559
178	1.069044551
179	1.069011231
180	1.068983514
181	1.068983507
182	1.068983501
183	1.068945899
184	1.068939796
185	1.068904515
186	1.068843582
187	1.068819737
188	1.068800854
189	1.068748226
190	1.029282739
191	1.029266228
192	1.0292336
193	1.029215813
194	1.029114391
195	1.029089231
196	1.029057123
197	1.029020452
198	1.028963992
199	1.028945263
200	1.028874403
201	1.028807143
202	1.028787473
203	1.028742849
204	1.028709218
205	1.028639871
206	1.028609795
207	1.028586764
208	1.028573498
209	1.028512527
210	1.02847221
211	1.028465941
212	1.028430671
213	1.028405012
214	1.028376167
215	1.028346215
216	1.028299899
217	1.028228452
218	1.028200205
219	1.028175296
220	1.028137966
221	1.028071246
222	1.028020186
223	1.028013423
224	1.028009397
225	1.027989726
226	1.027955455
227	1.027914733
228	1.027914733
229	1.027895433
230	1.02759561
231	1.02757838
232	1.027567495
233	1.027528423
234	1.027528423
235	1.027510529
236	1.027510523
237	1.027510517
238	1.027481547
239	1.027481359
240	1.027481354
241	1.027453173
242	1.027452792
243	1.027439273
244	1.027403917
245	1.027316053
246	1.027313992
247	1.027291499
248	1.027291497
249	1.027276146
250	1.027237819
251	1.027202447
252	1.027170616
253	1.027157793
254	1.027137999
255	1.027134548
256	1.027111299
257	1.027102759
258	1.027078628
259	1.027026414
260	1.027005415
261	1.027001213
262	1.026971936
263	1.026944735
264	1.026933261
265	1.026933162
266	1.02692676
267	1.026920735
268	1.026907002
269	1.026891446
270	1.026880784
271	1.0268628
272	1.026854929
273	1.026837565
274	1.026817525
275	1.026817503
276	1.026806691
277	1.026804002
278	1.026795834
279	1.02678661
280	1.026781859
281	1.026761625
282	1.026747653
283	1.026747652
284	1.026734943
285	1.026698453
286	1.026689838
287	1.026669872
288	1.026647016
289	1.026619093
290	1.026568002
291	1.026565719
292	1.026553609
293	1.026553523
294	1.026519179
295	1.026512065
296	1.026468334
297	1.026441196
298	1.026441195
299	1.026431052
300	1.026414207
301	1.026414151
302	1.026409955
303	1.026409113
304	1.026392999
305	1.026364362
306	1.026329319
307	1.026294783
308	1.026262054
309	1.026247927
310	1.02622157
311	1.026199846
312	1.026174724
313	1.026151063
314	1.026127
315	1.026120734
316	1.026120734
317	1.026093646
318	1.026043692
319	1.026028757
320	1.025992135
321	1.025911298
322	1.013031523
323	1.013019124
324	1.012970124
325	1.012963213
326	1.012957911
327	1.012774972
328	1.012756696
329	1.012742781
330	1.012720924
331	1.01271079
332	1.012674662
333	1.012674637
334	1.012564998
335	1.012548731
336	1.012542085
337	1.012537689
338	1.012537685
339	1.012524093
340	1.012482207
341	1.012482195
342	1.01245761
343	1.012432167
344	1.012419666
345	1.012405776
346	1.012379888
347	1.012366675
348	1.012343454
349	1.012318324
350	1.012287047
351	1.01227668
352	1.012250213
353	1.012250213
354	1.012173522
355	1.012144152
356	1.012103893
357	1.012076648
358	1.012073713
359	1.012056082
360	1.012031624
361	1.012014019
362	1.012014019
363	1.011999239
364	1.01199754
365	1.011971895
366	1.011967135
367	1.011945334
368	1.011925628
369	1.011910579
370	1.011910321
371	1.011901203
372	1.011885454
373	0.9990122572
374	0.9989942399
375	0.9989930972
376	0.9989833878
377	0.9989638442
378	0.9989638183
379	0.99896149
380	0.9989601489
381	0.9989563267
382	0.9989563266
383	0.9988259303
384	0.998825855
385	0.9987995743
386	0.9987729594
387	0.9987606275
388	0.998724697
389	0.9987133475
390	0.9986968066
391	0.9986757374
392	0.9986503593
393	0.9986286409
394	0.9986088923
395	0.9985965253
396	0.9985774041
397	0.9984404978
398	0.9984394466
399	0.9984394346
400	0.9984252544
401	0.9984632056
402	0.9984556718
403	0.9984401752
404	0.9984260269
405	0.9984259985
406	0.9984244319
407	0.9983893205
408	0.9983664463
409	0.998361551
410	0.9854722896
411	0.9854448608
412	0.985443435
413	0.9854120197
414	0.985371344
415	0.9853452416
416	0.9853452416
417	0.9852982853
418	0.9852665098
419	0.985254396
420	0.9852327749
421	0.9851911406
422	0.98472523
423	0.984705806
424	0.9336614296
425	0.9336404096
426	0.9336194503
427	1.010697408
428	1.010689198
429	1.010686555
430	1.010644916
431	1.010633188
432	1.010607232
433	1.010604416
434	1.01057671
435	1.010547504
436	1.010514163
437	1.010377663
438	1.010331296
439	1.010295413
440	1.01027284
441	1.054239553
442	1.054205292
443	1.054137106
444	1.054094945
445	1.054060747
446	1.05403533
447	1.054011951
448	1.053959562
449	1.053955587
450	1.053951958
451	1.053919318
452	1.053862669
453	1.053825569
454	1.053795545
455	1.05375692
456	1.053726508
457	1.053670414
458	1.05364025
459	1.053637283
460	1.053600824
461	1.053547375
462	1.05350092
463	1.05350092
464	1.053445484
465	1.053403599
466	1.053368005
467	3.261028636
468	3.260963404
469	3.522932512
470	3.522873321
471	3.520522301
472	3.52047957
473	3.520438902
474	3.5203974
475	3.520736087
476	3.520695651
477	3.520651027
478	3.520649512
479	3.520610339
480	3.520562084
481	3.520495516
482	3.520435765
483	3.520395497
484	3.520343278
485	3.520143542
486	3.520061493
487	3.520025251
488	3.52008719
489	3.520037201
490	4.070713603
491	4.07067495
492	4.070641131
493	4.070602468
494	3.993924877
495	3.99388854
496	3.993848877
497	3.993738166
498	3.993701774
499	3.993651377
500	3.993548717
501	3.993515192
502	3.993461614
503	3.993461614
504	3.993413503
505	4.004452475
506	4.004265705
507	4.004232486
508	4.00418952
509	4.004149059
510	4.004112779
511	4.004089578
512	4.05549067
513	4.068108941
514	4.068087499
515	4.068057397
516	4.055150974
517	4.055150974
518	4.055128824
519	4.887546652
520	4.887502088
521	4.887473336
522	4.887431298
523	4.887395748
524	4.887364808
525	5.611051751
526	5.611028329
527	5.598228039
528	5.598187258
529	5.641773945
530	5.641735758
531	5.641717269
532	5.731372445
533	5.718484365
534	5.897724543
535	5.897695458
536	5.837002845
537	5.836975634
538	5.849759201
539	5.849712606
540	5.849692436
